,TEFF,J-H
0,11890.188,0.5388753844499607
1,10285.415,0.5497310572266549
2,12355.728,0.5032661345005014
3,18542.135,0.599185149848461
4,15903.957,0.4945839186012755
5,12787.338,0.5913522309958896
6,12258.585,-0.12867117404937467
7,9722.114,-0.05270023250579747
8,11096.542,0.18163695812225278
9,9937.384,-0.08890716457367098
10,18078.756,0.5635958127975478
11,12896.461,0.7136576013565072
12,11079.813999999997,0.6587520456314078
13,13363.373,-0.14363226222991798
14,11067.866000000002,0.15501333618164104
15,13286.823,-0.26213373756408487
16,12064.136,-0.27347057056426927
17,14414.786,-0.020048250675200663
18,11814.1,-0.11176237797737265
19,15051.124,-0.027708208322525962
20,11748.427,-0.05239845800399756
21,13023.324,-0.10719752120971826
22,12602.891,-0.08188273668289447
23,9561.8125,-0.11981560850143147
24,14484.319,-0.13000598144531317
25,12008.837,-0.045763397216795454
26,10380.802,-0.023059670925141162
27,18704.852,-0.11672075080871736
28,9716.951,-0.04173818969726639
29,9539.012,-0.5129131784439096
30,12406.663,-0.054926847934723355
31,15176.233,-0.14884218788146697
32,12536.578,-0.09231599187851103
33,10989.691,-0.17112448215484477
34,12232.731000000002,-0.14587176465987994
35,14085.652,-0.10046434164047113
36,18899.512,-0.11084263658523419
37,11260.7705,-0.1211986868381505
38,12235.947,-0.04751433205604805
39,12236.948,-0.10762099814415116
40,13099.568,-0.04370812058448692
41,12341.089,-0.040235581398009757
42,10427.548,-0.07170812964439399
43,13466.597,0.74572634550929
44,14543.82,-0.26213373756408487
45,17504.2,0.44268372344970786
46,14405.556,-0.0870080156326285
47,13586.986,0.011228911399841834
48,15321.279,0.6618593697547919
49,13572.565,0.532175852298737
50,19512.584,0.5013649420738258
51,13496.406,-0.11672075080871736
52,13524.563,0.15797565364837673
53,10894.6,-0.08274385452270572
54,12694.928999999998,-0.09231599187851103
55,11748.29,-0.03746165513992317
56,12974.491000000002,-0.03226744413375826
57,18376.791,-0.11352879333495913
58,9720.4375,-0.12520290946960522
59,12673.354,-0.1255778579711908
60,12954.503,-0.06294083738327139
61,14901.684,-0.10046434164047113
62,10060.673,-0.08959309077262922
63,9514.864,0.6750915546417264
64,11500.002,0.3298796940147888
65,11747.483,-0.27347057056426927
66,14425.983,-0.1453087625503553
67,10881.309,-0.16701520347595178
68,13415.418,-0.18830379009246911
69,13472.327,-0.2729020118713379
70,12860.445,-0.020048250675200663
71,15046.842,-0.11176237797737265
72,11812.173,-0.08188273668289447
73,14580.879,-0.1140663681030265
74,14256.43,-0.05734117794036919
75,10320.808,-0.11981560850143147
76,10098.71,-0.023059670925141162
77,12356.04,-0.054926847934723355
78,15303.742,-0.14884218788146697
79,15263.953,-0.12027209520339888
80,11652.975,-0.09231599187851103
81,12846.467,-0.03226744413375826
82,9717.568,-0.12520290946960522
83,13336.608,-0.1255778579711908
84,13360.288,-0.14587176465987994
85,11009.898,-0.08959309077262922
86,19216.764,-0.1336572370529172
87,10305.761,-0.12284359741210693
88,11655.339,-0.07071937823295826
89,10865.301,-0.03952040076255692
90,12961.393999999998,-0.04370812058448692
91,10177.963,-0.04415913510322689
92,10283.299,-0.06412173914909403
93,13079.77,-0.08953847217559563
94,14243.737,-0.07170812964439399
95,12675.428,-0.26213373756408487
96,9959.936,-0.3615599603652946
97,10086.129,-0.24967823648452914
98,9902.553,-0.41012481021881264
99,9875.658,-0.38002295970916755
100,18079.219,0.011228911399841834
101,14632.815,0.4574653255939456
102,11787.19,-0.05239845800399756
103,13110.674,-0.13000598144531317
104,12369.475,-0.10478466701507827
105,10868.94,-0.045763397216795454
106,9949.296,-0.10698425722121918
107,11649.844,-0.09782265663146994
108,12861.776000000002,-0.03746165513992317
109,18383.506,-0.11352879333495913
110,10168.524,-0.06294083738327139
111,13846.595,-0.10046434164047113
112,9725.205,-0.09719981479644879
113,13175.178999999998,-0.00955503749847253
114,11280.57,-0.1211986868381505
115,13750.319,-0.03010455894469999
116,17747.186,-0.0731417298316952
117,11819.693,-0.04751433205604805
118,18382.178,-0.10762099814415116
119,12921.704,0.37769855189323387
120,14857.985,-0.24328356456756417
121,14317.339,0.6299915498346103
122,13111.913,0.21197387465834439
123,17578.336,0.21197387465834439
124,15670.187,0.21197387465834439
125,12579.07,-0.026774239540099387
126,15326.116000000002,0.6497102103233328
127,10882.288,0.0004918057918530394
128,10738.741000000002,0.0025134072303760746
129,11024.969,-0.031004981994628977
130,11823.098999999998,-0.021049523591996078
131,12851.354,-0.052766299724581245
132,15048.868,-0.11156898915767499
133,10221.7,-0.07373724949359861
134,12535.032,-0.09802553153038218
135,14278.181,-0.10992041945457487
136,9866.066,0.036626775264739564
137,11340.237,-0.02305228185653796
138,10051.192,-0.07396139657497258
139,13514.075,0.05941460514068453
140,12350.807,-0.019185034275054136
141,9729.138,-0.041296033620835004
142,9644.476,-0.013102296352386134
143,12788.204,0.013911550998690458
144,12722.171,-0.07320486545562765
145,10134.477,0.009032771587373034
146,9752.648,-0.030654957771304225
147,10219.722,-0.06084047985076779
148,10806.995,-0.12599752426147504
149,11017.402,-0.10683567237854064
150,13454.468,-0.006659197926522253
151,18402.402,-0.0029777555465670957
152,13099.938999999997,-0.03690425491332938
153,10014.778,-0.06668682050704966
154,10139.243,-0.07934975147247414
155,10044.801,-0.015781434297560182
156,12513.056,-0.07271710473298931
157,10028.054,-0.03771347093582378
158,13745.834,-0.031245675802230366
159,12526.665,-0.12146015286445788
160,10119.426,-0.03771347093582378
161,12990.943,-0.031245675802230366
162,13092.922,-0.12146015286445788
163,14690.7,0.6960876882076263
164,13572.772,0.5690862023532421
165,18871.459,-0.09133530747890539
166,12696.786,0.6327762696444985
167,12777.231000000002,0.0020592522621143416
168,11648.325,-0.01313879883289637
169,13583.842,0.4217642160654034
170,18392.123,0.5344650972187512
171,11391.268999999998,0.4439118241965776
172,14687.081,0.23694106864929054
173,17660.959,0.35694448293745573
174,13728.768999999998,0.6767842668592916
175,10086.03,0.01963592159748373
176,12615.098999999998,0.0020592522621143416
177,13642.266,-0.03446767652034666
178,11642.62,-0.01313879883289637
179,18097.887,0.4217642160654034
180,10967.037,-0.029828015089035986
181,15316.624,0.36822969330847144
182,13101.013,0.6820161893665784
183,11086.686000000003,0.3259473869651561
184,19733.846,0.25573641088604937
185,11647.098,-0.11961838245391831
186,10830.792,-0.047310677289964076
187,9835.871,0.0024135820865627267
188,11767.508999999998,-0.06101242971420362
189,10443.04,-0.05370195484161577
190,14529.261,-0.0627227244377142
191,12853.113,-0.05618253076076485
192,9845.935,-0.012106178998946504
193,11784.932,-0.07418758416175564
194,12854.68,-0.08246786689758245
195,12048.23,-0.04020062565803606
196,12664.373,-0.006997290611268525
197,12065.732,-0.023742028951646788
198,11162.925,-0.04623436999321129
199,9876.072,-0.05254549551010079
200,12456.116000000002,-0.05677911996841445
201,9493.22,-0.08828861141204847
202,13131.028,-0.15063186168670661
203,10521.01,0.002924613118171493
204,12806.532,-0.24006348228454577
205,10509.1455,-0.13110886573791447
206,11035.684,-0.03426736974716427
207,12674.559,-0.01592887997627379
208,15328.046,0.4912405881881732
209,12062.778,-0.16016362142562812
210,12034.942,-0.01117786407470689
211,12105.955,-0.058472546100615475
212,11809.053,-0.021527510166169606
213,12868.667,-0.06880029010772759
214,12440.838,-0.061238515853881736
215,11816.312,-0.23480548524856282
216,11956.407,-0.2180029668807979
217,10277.151,-0.07756518507003918
218,17734.512,-0.15095883417129663
219,12681.655,-0.2534088239669785
220,12676.913,-0.20251959848403978
221,10037.619,-0.177452760219575
222,12880.26,-0.15693560695648046
223,12602.074,-0.028987638473511268
224,12270.17,-0.07153035998344492
225,15319.626,0.19004667067527947
226,9960.136,-0.00966520166397089
227,15314.02,0.4767388799190524
228,10113.583,-0.022398123025892502
229,19039.965,0.8513222699910408
230,11969.383999999998,0.6749762134701012
231,15326.356000000002,0.6514676241576662
232,19196.5,0.5890724209845075
233,15357.911,0.38485916687548105
234,17201.436,0.6270845620185135
235,10205.325,-0.025286413431167887
236,13052.766,-0.06925439691543822
237,11256.063999999997,-0.08796437430381587
238,19098.668,-0.021463831424712865
239,14648.72,0.505422517776486
240,12948.155,-0.09955505990981983
241,14587.725,0.04485064220428292
242,9651.268,-0.046012478113173216
243,10912.257,-0.09027337789535572
244,13554.704,0.13147980451583763
245,14387.153,-0.014229444026948812
246,15197.106000000002,-0.02778039717674119
247,12006.688999999997,-0.01411345815658649
248,9635.763,-0.032952643394470016
249,11691.221,-0.074608573913574
